,Timestep,Neural,Maximum,Greedy,Lazy,e-Neural,greedy
529,530.0,478.9108846,50.97747882,50.47541286,479.4759599,69.23448867,
530,531.0,479.8326794,50.97980209,50.46559409,480.3990148,69.2979541,
531,532.0,480.7544746,50.99508098,50.48839062,481.3220701,69.31288108,
532,533.0,481.67627,50.99200843,50.52874067,482.2451257,69.29682972,
533,534.0,482.5980658,50.97818764,50.52739299,483.1681816,69.29847767,
534,535.0,483.5198619,50.96807641,50.50190325,484.0912378,69.29411975,
535,536.0,484.4416583,50.96845022,50.57576004,485.0142943,69.33846866,
536,537.0,485.363455,50.94707409,50.59208101,485.9373511,69.34770517,
537,538.0,486.285252,50.97195759,50.60042392,486.8604082,69.41792434,
538,539.0,487.2070494,50.99609372,50.59681336,487.7834656,69.6430518,
539,540.0,488.128847,50.9849043,50.58715049,488.7065233,69.63497883,
540,541.0,489.0506449,50.97607834,50.57727977,489.6295813,69.64692782,
541,542.0,489.9724431,50.96214262,50.56895046,490.5526396,69.63380403,
542,543.0,490.8942416,50.97325276,50.57162528,491.4756982,69.61188747,
543,544.0,491.8160404,50.97337223,50.57931084,492.3987571,69.59544236,
544,545.0,492.7378395,50.97741579,50.57773381,493.3218163,69.61098911,
545,546.0,493.6596389,50.98684195,50.57701568,494.2448758,69.59801949,
546,547.0,494.5814386,50.98306813,50.56721027,495.1679355,69.58233211,
547,548.0,495.5032385,50.99924782,50.55320056,496.0909956,69.55937239,
548,549.0,496.4250388,50.998454,50.56873074,497.0140559,69.54745304,
549,550.0,497.3468393,50.9991871,50.60101946,497.9371165,69.73569898,
550,551.0,498.2686401,51.00580391,50.60861553,498.8601774,69.74988198,
551,552.0,499.1904412,50.99971276,50.60380999,499.7832386,69.74738563,
552,553.0,500.1122426,51.02090432,50.61515768,500.7063001,69.74166025,
553,554.0,501.0340442,51.06682315,50.6078941,501.6293618,69.7315564,
554,555.0,501.9558462,51.08911045,50.67589944,502.5524238,69.82574051,
555,556.0,502.8776484,51.12889568,50.66551497,503.4754861,69.81301853,
556,557.0,503.7994509,51.1127205,50.65210894,504.3985487,69.84282585,
557,558.0,504.7212536,51.09857715,50.65488674,505.3216115,69.88448308,
558,559.0,505.6430566,51.14734563,50.68980818,506.2446746,69.85323418,
559,560.0,506.5648599,51.14847963,50.70038119,507.167738,69.84718172,
560,561.0,507.4866635,51.14073423,50.68734612,508.0908016,69.82158171,
561,562.0,508.4084673,51.14097357,50.68289219,509.0138655,69.81167869,
562,563.0,509.3302714,51.1289609,50.68180737,509.9369297,69.79768471,
563,564.0,510.2520757,51.1599921,50.67374037,510.8599941,69.81874046,
564,565.0,511.1738804,51.16879083,50.68120975,511.7830588,69.78712274,
565,566.0,512.0956852,51.17776523,50.68191548,512.7061237,69.79388068,
566,567.0,513.0174904,51.15953493,50.66964644,513.6291889,69.77433629,
567,568.0,513.9392957,51.15315104,50.690811,514.5522544,69.77379093,
568,569.0,514.8611014,51.14115152,50.7041574,515.4753201,69.80106474,
569,570.0,515.7829073,51.1284993,50.71297899,516.3983861,69.81805534,
570,571.0,516.7047134,51.10928408,50.71048379,517.3214523,69.81501942,
571,572.0,517.6265199,51.099564,50.6975349,518.2445188,69.79715953,
572,573.0,518.5483265,51.13701018,50.7266874,519.1675855,69.80038753,
573,574.0,519.4701334,51.14044189,50.73328047,520.0906525,69.7697667,
574,575.0,520.3919406,51.13529403,50.72405768,521.0137197,69.77049196,
575,576.0,521.313748,51.13044537,50.78495844,521.9367872,69.83695181,
576,577.0,522.2355556,51.11550501,50.7685897,522.8598549,69.90686395,
577,578.0,523.1573635,51.11415816,50.76652505,523.7829228,69.89586731,
578,579.0,524.0791716,51.11093245,50.78832125,524.705991,69.9734655,
579,580.0,525.00098,51.12046037,50.80748178,525.6290595,69.94564269,
580,581.0,525.9227886,51.1107382,50.86302869,526.5521282,69.92235638,
581,582.0,526.8445975,51.10277453,50.87802741,527.4751971,69.90644354,
582,583.0,527.7664066,51.10262222,50.89041387,528.3982662,69.90956134,
583,584.0,528.6882159,51.11495564,50.88540641,529.3213356,69.94792465,
584,585.0,529.6100255,51.13374274,50.96366614,530.2444052,69.94272552,
585,586.0,530.5318353,51.13557185,50.95163589,531.1674751,69.9310814,
586,587.0,531.4536453,51.13640781,50.94801985,532.0905452,69.88625549,
587,588.0,532.3754556,51.13395543,50.95542056,533.0136155,69.9135884,
588,589.0,533.297266,51.13413962,50.95260627,533.9366861,69.88378273,
589,590.0,534.2190768,51.12692245,50.95258122,534.8597568,69.93862352,
590,591.0,535.1408877,51.14335615,50.99664832,535.7828278,69.90293722,
591,592.0,536.0626989,51.12813548,50.99450058,536.7058991,69.90739154,
592,593.0,536.9845103,51.12259804,51.0081662,537.6289705,70.03518798,
593,594.0,537.9063219,51.24989555,51.08802658,538.5520422,70.01183976,
594,595.0,538.8281338,51.26046835,51.07296051,539.4751141,70.0578849,
595,596.0,539.7499458,51.25875234,51.07181472,540.3981862,70.04903903,
596,597.0,540.6717581,51.26168244,51.11726221,541.3212586,70.0546879,
597,598.0,541.5935706,51.31161593,51.11184757,542.2443311,70.06106045,
598,599.0,542.5153834,51.33173917,51.10030063,543.1674039,70.12193889,
599,600.0,543.4371963,51.36084556,51.0934619,544.0904769,70.12548808,
600,601.0,544.3590095,51.36297603,51.10568315,545.0135501,70.14278436,
601,602.0,545.2808229,51.35390807,51.1214625,545.9366236,70.13206907,
602,603.0,546.2026365,51.40502596,51.12877235,546.8596972,70.10636972,
603,604.0,547.1244503,51.41944258,51.12256896,547.7827711,70.07726162,
604,605.0,548.0462643,51.42563256,51.10834469,548.7058451,70.06209802,
605,606.0,548.9680785,51.44190871,51.09787567,549.6289194,70.1192432,
606,607.0,549.889893,51.43362599,51.11330676,550.5519939,70.10925448,
607,608.0,550.8117076,51.42355166,51.09752751,551.4750686,70.11025076,
608,609.0,551.7335225,51.42082921,51.11306464,552.3981435,70.11619767,
609,610.0,552.6553375,51.42141399,51.12901699,553.3212186,70.14945616,
610,611.0,553.5771528,51.43576721,51.10933178,554.2442939,70.12673926,
611,612.0,554.4989683,51.41585971,51.09977094,555.1673694,70.11086924,
612,613.0,555.420784,51.42593969,51.11720215,556.0904451,70.08171573,
